Model,Domain,Error Type,Probability
medgemma,Self Awareness,past_medical_history,0.69
medgemma,Self Awareness,relevant_symptom_review,0.09
medgemma,Self Awareness,family_history,0.36
medgemma,Self Awareness,social_history,0.56
medgemma,Self Awareness,lifestyle_factors,0.51
medgemma,Self Awareness,broader_review_of_systems,0.54
medgemma,Self Awareness,mental_status,0.43
medgemma,Self Awareness,specific_risk_factors,0.25
medgemma,Robustness,unclear_expression_handling,0.3
medgemma,Robustness,uncertain_answer_handling,0.98
medgemma,Ethics,lack_of_empathy,0.12
medgemma,Ethics,bias_or_assumption,0.0
medgemma,Ethics,privacy_violation,0.0
medgemma,Explainability,minor_clarity_failure,0.21
medgemma,Explainability,major_clarity_failure,0.24
medgemma,Explainability,lack_of_context_for_question,0.01
medgemma,Information Summary,minor_omission,0.45
medgemma,Information Summary,minor_fabrication,0.3
medgemma,Information Summary,major_omission,0.31
medgemma,Information Summary,major_fabrication,0.29
medgemma,Diagnostic Reasoning,information_omission,0.67
medgemma,Diagnostic Reasoning,incorrect_assumption,0.51
medgemma,Diagnostic Reasoning,flawed_reasoning_process,0.93
medgemma,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.1
medgemma,Diagnostic Reasoning,diagnostic_questioning_bias,0.82
medgemma,Medication Safety,reference_drug_deviation,0.99
medgemma,Medication Safety,unsafe_drug_use,0.39
medgemma,Medication Safety,drug_diagnosis_mismatch,0.31
medgemma,Medication Safety,missing_important_drugs,0.58
medgemma,Medication Safety,incorrect_or_missing_explanation,0.27
qwen3,Questioning Skills,repetitive_questions,0.38
qwen3,Questioning Skills,unclear_questions,0.17
qwen3,Questioning Skills,confrontational_questions,0.0
qwen3,Questioning Skills,logical_jumps,0.0
qwen3,Self Awareness,past_medical_history,0.83
qwen3,Self Awareness,allergies,0.88
qwen3,Self Awareness,broader_review_of_systems,0.44
qwen3,Self Awareness,specific_risk_factors,0.25
qwen3,Self Awareness,relevant_symptom_review,0.03
qwen3,Self Awareness,family_history,0.36
qwen3,Self Awareness,social_history,0.56
qwen3,Self Awareness,lifestyle_factors,0.43
qwen3,Self Awareness,mental_status,0.25
qwen3,Self Awareness,chief_complaint_details,0.25
qwen3,Robustness,unclear_expression_handling,0.3
qwen3,Robustness,uncertain_answer_handling,0.9
qwen3,Ethics,lack_of_empathy,0.17
qwen3,Ethics,bias_or_assumption,0.0
qwen3,Ethics,privacy_violation,0.0
qwen3,Explainability,minor_clarity_failure,0.48
qwen3,Explainability,major_clarity_failure,0.56
qwen3,Explainability,lack_of_context_for_question,0.01
qwen3,Information Summary,minor_omission,0.45
qwen3,Information Summary,minor_fabrication,0.51
qwen3,Information Summary,major_fabrication,0.47
qwen3,Information Summary,major_omission,0.47
qwen3,Diagnostic Reasoning,information_omission,0.74
qwen3,Diagnostic Reasoning,flawed_reasoning_process,0.97
qwen3,Diagnostic Reasoning,diagnostic_questioning_bias,0.78
qwen3,Diagnostic Reasoning,incorrect_assumption,0.65
qwen3,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.18
qwen3,Medication Safety,reference_drug_deviation,0.96
qwen3,Medication Safety,unsafe_drug_use,0.16
qwen3,Medication Safety,incorrect_or_missing_explanation,0.11
qwen3,Medication Safety,missing_important_drugs,0.55
qwen3,Medication Safety,drug_diagnosis_mismatch,0.13
baichuan,Questioning Skills,unclear_questions,0.06
baichuan,Questioning Skills,repetitive_questions,0.25
baichuan,Self Awareness,chief_complaint_details,0.32
baichuan,Self Awareness,past_medical_history,0.69
baichuan,Self Awareness,allergies,0.33
baichuan,Self Awareness,social_history,0.45
baichuan,Self Awareness,specific_risk_factors,0.29
baichuan,Self Awareness,family_history,0.23
baichuan,Self Awareness,lifestyle_factors,0.33
baichuan,Self Awareness,broader_review_of_systems,0.53
baichuan,Self Awareness,mental_status,0.35
baichuan,Self Awareness,relevant_symptom_review,0.15
baichuan,Robustness,uncertain_answer_handling,0.98
baichuan,Robustness,unclear_expression_handling,0.3
baichuan,Ethics,lack_of_empathy,0.33
baichuan,Ethics,privacy_violation,0.0
baichuan,Ethics,bias_or_assumption,0.0
baichuan,Explainability,major_clarity_failure,0.26
baichuan,Explainability,minor_clarity_failure,0.23
baichuan,Explainability,lack_of_context_for_question,0.0
baichuan,Information Summary,major_omission,0.35
baichuan,Information Summary,minor_fabrication,0.46
baichuan,Information Summary,major_fabrication,0.43
baichuan,Information Summary,minor_omission,0.38
baichuan,Diagnostic Reasoning,information_omission,0.57
baichuan,Diagnostic Reasoning,flawed_reasoning_process,0.91
baichuan,Diagnostic Reasoning,incorrect_assumption,0.56
baichuan,Diagnostic Reasoning,diagnostic_questioning_bias,0.71
baichuan,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.14
baichuan,Medication Safety,reference_drug_deviation,0.93
baichuan,Medication Safety,unsafe_drug_use,0.19
baichuan,Medication Safety,missing_important_drugs,0.64
baichuan,Medication Safety,incorrect_or_missing_explanation,0.22
baichuan,Medication Safety,drug_diagnosis_mismatch,0.15
huatuo,Questioning Skills,repetitive_questions,0.52
huatuo,Questioning Skills,unclear_questions,0.22
huatuo,Questioning Skills,logical_jumps,0.0
huatuo,Self Awareness,allergies,0.56
huatuo,Self Awareness,social_history,0.44
huatuo,Self Awareness,lifestyle_factors,0.5
huatuo,Self Awareness,past_medical_history,0.62
huatuo,Self Awareness,broader_review_of_systems,0.64
huatuo,Self Awareness,mental_status,0.45
huatuo,Self Awareness,specific_risk_factors,0.21
huatuo,Self Awareness,family_history,0.2
huatuo,Self Awareness,chief_complaint_details,0.19
huatuo,Self Awareness,relevant_symptom_review,0.09
huatuo,Robustness,uncertain_answer_handling,0.92
huatuo,Robustness,unclear_expression_handling,0.23
huatuo,Ethics,lack_of_empathy,0.45
huatuo,Ethics,privacy_violation,0.0
huatuo,Ethics,bias_or_assumption,0.0
huatuo,Explainability,minor_clarity_failure,0.24
huatuo,Explainability,major_clarity_failure,0.3
huatuo,Explainability,lack_of_context_for_question,0.01
huatuo,Information Summary,major_omission,0.46
huatuo,Information Summary,minor_omission,0.51
huatuo,Information Summary,major_fabrication,0.13
huatuo,Information Summary,minor_fabrication,0.12
huatuo,Diagnostic Reasoning,information_omission,0.89
huatuo,Diagnostic Reasoning,flawed_reasoning_process,0.95
huatuo,Diagnostic Reasoning,diagnostic_questioning_bias,0.81
huatuo,Diagnostic Reasoning,incorrect_assumption,0.36
huatuo,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.07
huatuo,Medication Safety,reference_drug_deviation,0.93
huatuo,Medication Safety,unsafe_drug_use,0.21
huatuo,Medication Safety,missing_important_drugs,0.65
huatuo,Medication Safety,drug_diagnosis_mismatch,0.18
huatuo,Medication Safety,incorrect_or_missing_explanation,0.14
deepseek,Questioning Skills,repetitive_questions,0.26
deepseek,Questioning Skills,unclear_questions,0.02
deepseek,Self Awareness,past_medical_history,0.95
deepseek,Self Awareness,family_history,0.43
deepseek,Self Awareness,lifestyle_factors,0.46
deepseek,Self Awareness,chief_complaint_details,0.23
deepseek,Self Awareness,allergies,0.89
deepseek,Self Awareness,social_history,0.61
deepseek,Self Awareness,broader_review_of_systems,0.45
deepseek,Self Awareness,specific_risk_factors,0.32
deepseek,Self Awareness,mental_status,0.26
deepseek,Self Awareness,relevant_symptom_review,0.06
deepseek,Robustness,uncertain_answer_handling,0.98
deepseek,Robustness,unclear_expression_handling,0.23
deepseek,Ethics,lack_of_empathy,0.24
deepseek,Explainability,major_clarity_failure,0.16
deepseek,Explainability,minor_clarity_failure,0.19
deepseek,Explainability,lack_of_context_for_question,0.0
deepseek,Information Summary,major_omission,0.52
deepseek,Information Summary,major_fabrication,0.19
deepseek,Information Summary,minor_omission,0.52
deepseek,Information Summary,minor_fabrication,0.23
deepseek,Diagnostic Reasoning,information_omission,0.82
deepseek,Diagnostic Reasoning,incorrect_assumption,0.53
deepseek,Diagnostic Reasoning,flawed_reasoning_process,0.97
deepseek,Diagnostic Reasoning,diagnostic_questioning_bias,0.81
deepseek,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.13
deepseek,Medication Safety,reference_drug_deviation,0.96
deepseek,Medication Safety,missing_important_drugs,0.59
deepseek,Medication Safety,unsafe_drug_use,0.19
deepseek,Medication Safety,incorrect_or_missing_explanation,0.17
deepseek,Medication Safety,drug_diagnosis_mismatch,0.16
